name,email,phone,detail_url
UDACITY,,,https://www.eyeofriyadh.com/directory/details/10246_udacity
Warg Altoot,,00966555022922,https://www.eyeofriyadh.com/directory/details/10265_warg-altoot
Bangladesh Human Capital,info@bd-human.com,+8801710506006,https://www.eyeofriyadh.com/directory/details/10358_bangladesh-human-capital
Yoma App,,+9660590667474,https://www.eyeofriyadh.com/directory/details/10419_yoma-app
Al-Arab Medical Laboratories,info@alarablabs.com,920008392,https://www.eyeofriyadh.com/directory/details/10502_al-arab-medical-laboratories
Algorithmics,riyadh@alg.academy,+966 594 010 647,https://www.eyeofriyadh.com/directory/details/10752_algorithmics
SAESF,info@saesf.gov.sa,966 112015753,https://www.eyeofriyadh.com/directory/details/10833_saesf
ScienceSoft,gulf@scnsoft.com,+971 600 57 59 69,https://www.eyeofriyadh.com/directory/details/11010_sciencesoft
Wafi,wafi@housing.gov.sa,920004831,https://www.eyeofriyadh.com/directory/details/11018_wafi
Courtyard Riyadh Northern Ring Road,RUHNR@courtyard.com,+966115210000,https://www.eyeofriyadh.com/directory/details/11072_courtyard-riyadh-northern-ring-road
Road Echo Co.,louie@roadecho.net,966545938496,https://www.eyeofriyadh.com/directory/details/11089_road-echo-co
NHC National Housing Company,info@nhc.sa, 920033499,https://www.eyeofriyadh.com/directory/details/12962_nhc-national-housing-company
Ladun Investment,info@ladun.sa,966 9200 11560,https://www.eyeofriyadh.com/directory/details/12965_ladun-investment
VIEW,Info@view.sa,920033504,https://www.eyeofriyadh.com/directory/details/12966_view
Pan Kingdom Real Estate,info@pankingdom.com,920000060,https://www.eyeofriyadh.com/directory/details/12970_pan-kingdom-real-estate
Balady,info@momrah.gov.sa,199040,https://www.eyeofriyadh.com/directory/details/12972_balady
Sakani,,199090,https://www.eyeofriyadh.com/directory/details/12978_sakani
Khozam Real Estate,Info@Kzm.Com.Sa,966 114918888,https://www.eyeofriyadh.com/directory/details/13068_khozam-real-estate
Rafea Development,sales@rafeaco-ksa.com,920034646,https://www.eyeofriyadh.com/directory/details/13072_rafea-development
NEOM,info@neom.com,,https://www.eyeofriyadh.com/directory/details/7537_neom
AMAALA,media.amaala@projects.pif.gov.sa,,https://www.eyeofriyadh.com/directory/details/9220_amaala
Mabaat Homes,info@mabaat.com,920023564,https://www.eyeofriyadh.com/directory/details/10817_mabaat-homes
Ajdan Real Estate Development Company,info@ajdan.com,920 000 658,https://www.eyeofriyadh.com/directory/details/12963_ajdan-real-estate-development-company
DARCO,Darco@qdg.sa,8003050055,https://www.eyeofriyadh.com/directory/details/12964_darco
SAAS Properties,info@saasproperties.com, 800 722723,https://www.eyeofriyadh.com/directory/details/12969_saas-properties
Abaad Real Estate Valuation,info@sa-abaad.com,920004134,https://www.eyeofriyadh.com/directory/details/12971_abaad-real-estate-valuation
The World Bank,wbgcc@worldbank.org,,https://www.eyeofriyadh.com/directory/details/12976_the-world-bank
UN-Habitat,habitat3secretariat@un.org,,https://www.eyeofriyadh.com/directory/details/12977_un-habitat
theleisureway,info@theleisureway.com,(+34) 97 622 61 52,https://www.eyeofriyadh.com/directory/details/12979_theleisureway
Housing Program,HP@ceda.cm.gov.sa,,https://www.eyeofriyadh.com/directory/details/12986_housing-program
THE LINE,,,https://www.eyeofriyadh.com/directory/details/12987_the-line
Jeddah Central Development Company,,966 12 896 5743,https://www.eyeofriyadh.com/directory/details/13069_jeddah-central-development-company
Rua AlMadinah Holding,info@ruaalmadinah.com,96614 834 0555,https://www.eyeofriyadh.com/directory/details/13071_rua-almadinah-holding
AMAAD Business Park,info@amaad.com,920001141,https://www.eyeofriyadh.com/directory/details/13073_amaad-business-park
Real Estate Domain - RED,info@redww.com,+201050427933,https://www.eyeofriyadh.com/directory/details/14142_real-estate-domain-red
Patisserie Jareer,info@kabbani.net,920008686,https://www.eyeofriyadh.com/directory/details/1118_patisserie-jareer
Business Solutions Group,info@bsg-expo.com,+966 11 4555 521,https://www.eyeofriyadh.com/directory/details/9652_business-solutions-group
Dconcept,info@dconceptexpo.com,011 244 7463,https://www.eyeofriyadh.com/directory/details/9991_dconcept
Suhail,info@mira-foods.com,920002690,https://www.eyeofriyadh.com/directory/details/10277_suhail
Saudi Exhibition and Conferences Association SECA,info@seca-sa.org,+966551768918,https://www.eyeofriyadh.com/directory/details/10278_saudi-exhibition-and-conferences-association-seca
Infosysta,info@infosysta.com,+966 11 2306500,https://www.eyeofriyadh.com/directory/details/10783_infosysta
EZEXPO,Info@ezexpo.com,011 2425646,https://www.eyeofriyadh.com/directory/details/9988_ezexpo
REFA,info@refa-sa.com,+966 56 534 3434,https://www.eyeofriyadh.com/directory/details/13991_refa
Handle,info@handle.com.sa,+966 114898260,https://www.eyeofriyadh.com/directory/details/9992_handle
SFMA,info@sfma.sa,+966507030368,https://www.eyeofriyadh.com/directory/details/13629_sfma
Real Estate Development Fund,info@redf.gov.sa,199088,https://www.eyeofriyadh.com/directory/details/86_real-estate-development-fund
ROSHN Group,info@roshn.sa,,https://www.eyeofriyadh.com/directory/details/9919_roshn-group
Amlak International,marketing@amlakint.com,8001185000,https://www.eyeofriyadh.com/directory/details/2297_amlak-international
KPMG,marketingsa@kpmg.com,+966 11 875800,https://www.eyeofriyadh.com/directory/details/293_kpmg
Google,,+971 4 4509500,https://www.eyeofriyadh.com/directory/details/6546_google
AL Akaria,info@al-akaria.com,92 000 3938,https://www.eyeofriyadh.com/directory/details/1364_al-akaria
Microsoft,,+966 11 2988555,https://www.eyeofriyadh.com/directory/details/2365_microsoft
Menassat Realty Company,info@gomenassat.com,920010094,https://www.eyeofriyadh.com/directory/details/8539_menassat-realty-company
Retal Urban Development,Info@retal.com.sa,8003030888,https://www.eyeofriyadh.com/directory/details/7941_retal-urban-development
Regus Saudi Arbia,,+96612 220 3099,https://www.eyeofriyadh.com/directory/details/2139_regus-saudi-arbia
Servcorp,frankdavidloanfirm3@gmail.com,+966112978100,https://www.eyeofriyadh.com/directory/details/2986_servcorp
World Trade Centre Saudi,Sales@wtc-saudi.com,+966112795000,https://www.eyeofriyadh.com/directory/details/4369_world-trade-centre-saudi
Public Prosecution,info@cip.gov.sa,+966 11 462 9883,https://www.eyeofriyadh.com/directory/details/2_public-prosecution
easyMarkets,support@easymarkets.com,,https://www.eyeofriyadh.com/directory/details/17_easymarkets
Communications and Information Technology Commission,info@citc.gov.sa,​​19966,https://www.eyeofriyadh.com/directory/details/20_communications-and-information-technology-commission
Royal Commission for Riyadh City,info@rcrc.gov.sa,966 11 8020000,https://www.eyeofriyadh.com/directory/details/24_royal-commission-for-riyadh-city
Saudi Commission for Health Specialties,scfhs@scfhs.org,920019393,https://www.eyeofriyadh.com/directory/details/28_saudi-commission-for-health-specialties
Saudi Food and Drug Authority,webmaster@sfda.gov.sa,19999,https://www.eyeofriyadh.com/directory/details/29_saudi-food-and-drug-authority
Saudi Geological Survey,sgs@sgs.org.sa,966 12 6195000,https://www.eyeofriyadh.com/directory/details/30_saudi-geological-survey
Saudi Industrial Property Authority (MODON),info@modon.gov.sa,920000425,https://www.eyeofriyadh.com/directory/details/31_saudi-industrial-property-authority-modon
Saudi Organization for Charted and Professional Accountants (SOCPA),info@socpa.org.sa,8004404444,https://www.eyeofriyadh.com/directory/details/32_saudi-organization-for-charted-and-professional-accountants-socpa
Saudi Red Crescent Authority,info@srca.org.sa,19971,https://www.eyeofriyadh.com/directory/details/33_saudi-red-crescent-authority
"Saudi Standards, Metrology and Quality Organization",info@saso.gov.sa,920009085,https://www.eyeofriyadh.com/directory/details/34_saudi-standards-metrology-and-quality-organization
"Ministry of Environment, Water and Agriculture",info@199099.gov.sa,199099,https://www.eyeofriyadh.com/directory/details/36_ministry-of-environment-water-and-agriculture
Ministry of Commerce,CS@mc.gov.sa,1900,https://www.eyeofriyadh.com/directory/details/38_ministry-of-commerce
Ministry Of Communications and Information Technology,info@mcit.gov.sa,966118144444,https://www.eyeofriyadh.com/directory/details/39_ministry-of-communications-and-information-technology
Ministry of  Media,info@media.gov.sa,1988,https://www.eyeofriyadh.com/directory/details/40_ministry-of-media
Ministry of Defense,info@mod.gov.sa,+966 11 4789000,https://www.eyeofriyadh.com/directory/details/41_ministry-of-defense
Ministry of Education,info@moe.gov.sa,+966 114753000,https://www.eyeofriyadh.com/directory/details/42_ministry-of-education
Ministry of Finance,ccc@mof.gov.sa,19990,https://www.eyeofriyadh.com/directory/details/44_ministry-of-finance
Ministry of Foreign Affairs,customercare@mofa.gov.sa,920011114,https://www.eyeofriyadh.com/directory/details/45_ministry-of-foreign-affairs
Ministry Of Health,937@moh.gov.sa,937,https://www.eyeofriyadh.com/directory/details/46_ministry-of-health
Ministry of Hajj & Umrah,hajcc@haj.gov.sa,966920002814,https://www.eyeofriyadh.com/directory/details/47_ministry-of-hajj-umrah
Ministry of Interior,info@moi.gov.sa,920020405                        ,https://www.eyeofriyadh.com/directory/details/49_ministry-of-interior
"Ministry of Islamic Affairs, Dawah and Guidance",info@moia.gov.sa,+966 11 223 6222,https://www.eyeofriyadh.com/directory/details/50_ministry-of-islamic-affairs-dawah-and-guidance
Ministry Of Energy,webmaster@moenergy.​​gov.sa,+966 11 478 7777,https://www.eyeofriyadh.com/directory/details/54_ministry-of-energy
Ministry of Transport and Logistic Services,mot@mot.gov.sa,+966 11 874 4444,https://www.eyeofriyadh.com/directory/details/57_ministry-of-transport-and-logistic-services
General Organization for Social Insurance (GOSI),info@gosi.gov.sa, 800 124 3344,https://www.eyeofriyadh.com/directory/details/58_general-organization-for-social-insurance-gosi
Saudi Grains Organization (SAGO),info@gsfmo.gov.sa,8002472220,https://www.eyeofriyadh.com/directory/details/59_saudi-grains-organization-sago
King Abdulaziz & His Companions Foundations For Giftedness and creativity,info@mawhiba.org.sa,8006123333,https://www.eyeofriyadh.com/directory/details/60_king-abdulaziz-his-companions-foundations-for-giftedness-and-creativity
Public Pension Agency,Governor@pension.gov.sa,8001248889,https://www.eyeofriyadh.com/directory/details/62_public-pension-agency
Saudi Water Authority,computerdirector@swcc.gov.sa,+966 11 463 1111      ,https://www.eyeofriyadh.com/directory/details/63_saudi-water-authority
Saudi Post SPL,info@saudipost.gov.sa,19992,https://www.eyeofriyadh.com/directory/details/67_saudi-post-spl
Saudi Ports Authority (MAWANI),info@ports.gov.sa,920010002,https://www.eyeofriyadh.com/directory/details/68_saudi-ports-authority-mawani
Technical and Vocational Training Corporation,info@tvtc.gov.sa,+966 11 289 66664,https://www.eyeofriyadh.com/directory/details/70_technical-and-vocational-training-corporation
General Department of Passport,992@gdp.gov.sa,992,https://www.eyeofriyadh.com/directory/details/72_general-department-of-passport
General Administration For Drug Control,995@gdnc.gov.sa,995,https://www.eyeofriyadh.com/directory/details/73_general-administration-for-drug-control
General Directorate For Prisons,pgd_media@pgd.gov.sa,920005999,https://www.eyeofriyadh.com/directory/details/75_general-directorate-for-prisons
General Directorate of Public Security,info@psd.gov.sa,8001222999,https://www.eyeofriyadh.com/directory/details/76_general-directorate-of-public-security
The General Directorate of Saudi Civil Defense,998@998.gov.sa,998,https://www.eyeofriyadh.com/directory/details/77_the-general-directorate-of-saudi-civil-defense
The General Directorate For The Border Guards,info@fg.gov.sa,994,https://www.eyeofriyadh.com/directory/details/78_the-general-directorate-for-the-border-guards
Board Of Grievances,info@bog.gov.sa,966 920000553,https://www.eyeofriyadh.com/directory/details/79_board-of-grievances
General Court of Audit,gab@gab.gov.sa,+966114056770,https://www.eyeofriyadh.com/directory/details/80_general-court-of-audit
FXDD,ar@fxdd.com,12127207170 +,https://www.eyeofriyadh.com/directory/details/101_fxdd
Swissquote,,+41 44 825 88 88       ,https://www.eyeofriyadh.com/directory/details/103_swissquote
FOREX.com,global.support@forex.com,1.908.315.0653,https://www.eyeofriyadh.com/directory/details/104_forex-com
Henyep Capital Markets,support@hycm.com,442088167812+,https://www.eyeofriyadh.com/directory/details/106_henyep-capital-markets
FXCM,info@fxcmmena.com,+971 4 363 2900      ,https://www.eyeofriyadh.com/directory/details/107_fxcm
Ace Travel,holidays@ace-travel.com,920002278,https://www.eyeofriyadh.com/directory/details/130_ace-travel
My Holiday Travel & Tourism,info@ejazti.com,920010087,https://www.eyeofriyadh.com/directory/details/131_my-holiday-travel-tourism
Attar Travel,info@attar-travel.com,+966507926071,https://www.eyeofriyadh.com/directory/details/135_attar-travel
Zahid Travel Group,holidays@zahidtravel.com,+966 11 460 2829,https://www.eyeofriyadh.com/directory/details/136_zahid-travel-group
Rixon Tour,customerservice@myrtn.com,920012067,https://www.eyeofriyadh.com/directory/details/137_rixon-tour
Al Sarh Travel & Tourism,info@alsarh.com.sa,966920000190,https://www.eyeofriyadh.com/directory/details/139_al-sarh-travel-tourism
Nayifat Finance Company,CustomerCare@nayifat.com,920035666,https://www.eyeofriyadh.com/directory/details/144_nayifat-finance-company
YANAL Finance Company,customercare@yanal.com,8001244555,https://www.eyeofriyadh.com/directory/details/145_yanal-finance-company
Al Amthal Leasing Company,info@al-amthal.com.sa,8007605555,https://www.eyeofriyadh.com/directory/details/148_al-amthal-leasing-company
Willis Towers Watson,, +996 11 440 6500,https://www.eyeofriyadh.com/directory/details/150_willis-towers-watson
Diners Club Saudi Arabia (DCSA),info@dinersclub.com,+966 11 460 3277 ,https://www.eyeofriyadh.com/directory/details/151_diners-club-saudi-arabia-dcsa
Matajeer Installments,,+966 14626006,https://www.eyeofriyadh.com/directory/details/153_matajeer-installments
Al Faisaliah Hotel,RESERVATIONS.RIYADH@ALFAISALIAHHOTELS.COM,+966 11 2732000      ,https://www.eyeofriyadh.com/directory/details/155_al-faisaliah-hotel
The Ritz Carlton Hotel,rc.ruhrz.leads@ritzcarlton.com,8008971435,https://www.eyeofriyadh.com/directory/details/156_the-ritz-carlton-hotel
Four Seasons Hotel Riyadh,contactus.riyadh@fourseasons.com,+966 11 2115000,https://www.eyeofriyadh.com/directory/details/157_four-seasons-hotel-riyadh
Al Meena International School,info@almeena-school.com,+966 531203037,https://www.eyeofriyadh.com/directory/details/161_al-meena-international-school
Sheraton Riyadh Hotel & Towers,reservations.riyadh@sheraton.com,+966 11 4543300     ,https://www.eyeofriyadh.com/directory/details/179_sheraton-riyadh-hotel-towers
Radisson Blu Hotel,reservations.riyadh@radissonblu.com,+966 11 4791234      ,https://www.eyeofriyadh.com/directory/details/212_radisson-blu-hotel
Riyadh Marriott Hotel,RiyadhRES@marriotthotels.com,+966 11 4779300      ,https://www.eyeofriyadh.com/directory/details/214_riyadh-marriott-hotel
Novotel Al Anoud,h6532-re@accor.com,+966 11 2882323,https://www.eyeofriyadh.com/directory/details/215_novotel-al-anoud
Hilton Garden Inn Riyadh,,+966 11 2935533  ,https://www.eyeofriyadh.com/directory/details/216_hilton-garden-inn-riyadh
Mutakamela Insurance,Customerservice@mutakamela.sa,800 301 0001,https://www.eyeofriyadh.com/directory/details/217_mutakamela-insurance
GIG Gulf,info.riyadh@axa-gulf.com,800292,https://www.eyeofriyadh.com/directory/details/218_gig-gulf
Al Taj International School,altajschool@gmail.com,+966 11 478 8237,https://www.eyeofriyadh.com/directory/details/222_al-taj-international-school
Al-Oruba International Schools,info@alorubaschools.com,+966 11 400 3269,https://www.eyeofriyadh.com/directory/details/225_al-oruba-international-schools
International Indian School,Principalb@iisriyadh.com,+966 11 4912239,https://www.eyeofriyadh.com/directory/details/239_international-indian-school
Jawahir Al-Riyadh international school,syed@jawahirschool.com,+966114750484,https://www.eyeofriyadh.com/directory/details/240_jawahir-al-riyadh-international-school
Khaled International Schools,info@kis-riyadh.com,+966114939197 ,https://www.eyeofriyadh.com/directory/details/241_khaled-international-schools
King Faisal School,kfs@kfs.sch.sa,+966 11 4820802,https://www.eyeofriyadh.com/directory/details/242_king-faisal-school
My Gym Children,info@mygym.com,966-128-1487,https://www.eyeofriyadh.com/directory/details/251_my-gym-children
Dr. Sulaiman Al habib Hospital,WeCare@drsulaimanalhabib.com,+966 11 462 2224      ,https://www.eyeofriyadh.com/directory/details/260_dr-sulaiman-al-habib-hospital
Saud International School,info@sis.edu.sa, 920002877,https://www.eyeofriyadh.com/directory/details/261_saud-international-school
Kingdom Schools,info@kingdomschools.edu.sa,+966 11 2755555,https://www.eyeofriyadh.com/directory/details/262_kingdom-schools
Madinat Al-Oloum International School,info@mois.edu.sa,+966112544375,https://www.eyeofriyadh.com/directory/details/263_madinat-al-oloum-international-school
Millennium Star International School,info@msis.com.sa,+966 11 478 9720 ,https://www.eyeofriyadh.com/directory/details/265_millennium-star-international-school
Pakistan International School,smcinfo@pises.edu.sa,8805327,https://www.eyeofriyadh.com/directory/details/267_pakistan-international-school
Dallah Hospital,webmaster@dallah-hospital.com,920012222,https://www.eyeofriyadh.com/directory/details/269_dallah-hospital
Al Hammadi Hospital,invest@alhammadi.com,+966 11 462 2000,https://www.eyeofriyadh.com/directory/details/270_al-hammadi-hospital
Dr. Abdul Rahman Al-Mishari Hospital,info@al-mishari.com.sa,920033266 ,https://www.eyeofriyadh.com/directory/details/271_dr-abdul-rahman-al-mishari-hospital
King Faisal Specialist Hospital & Research Centre,,+966 11 464 7272,https://www.eyeofriyadh.com/directory/details/272_king-faisal-specialist-hospital-research-centre
Specialized Medical Center Hospital,info@smc.com.sa,+966 11 434 3800,https://www.eyeofriyadh.com/directory/details/273_specialized-medical-center-hospital
Prince Sultan Military Medical City,Info@psmmc.med.sa,+966 11 477 7714,https://www.eyeofriyadh.com/directory/details/276_prince-sultan-military-medical-city
Saudi German Hospitals Group,info@meahco.sa,+966 11 260 6000,https://www.eyeofriyadh.com/directory/details/277_saudi-german-hospitals-group
Kingdom Hospital,info@khccgroup.com,920000751,https://www.eyeofriyadh.com/directory/details/279_kingdom-hospital
Consutling Clinics,clinic@khccgroup.com,920019123,https://www.eyeofriyadh.com/directory/details/280_consutling-clinics
General Intelligence Presidency,info@gip.gov.sa,985,https://www.eyeofriyadh.com/directory/details/294_general-intelligence-presidency
Ministry of National Guard,info@sang.gov.sa, +966 114912222,https://www.eyeofriyadh.com/directory/details/296_ministry-of-national-guard
National Center for Meteorology,info@pme.gov.sa,988,https://www.eyeofriyadh.com/directory/details/297_national-center-for-meteorology
The General Presidency of Scholarly Research and Ifta,info@alifta.net, +966 14595555,https://www.eyeofriyadh.com/directory/details/298_the-general-presidency-of-scholarly-research-and-ifta
The General Presidency of the promotion of virtue and the prevention of vice,info@pv.gov.sa,+966 11 490 8888,https://www.eyeofriyadh.com/directory/details/299_the-general-presidency-of-the-promotion-of-virtue-and-the-prevention-of-vice
King Saud University,rectoroffice@ksu.edu.sa,+966 11 467 0888 ,https://www.eyeofriyadh.com/directory/details/303_king-saud-university
Arab Open University,support@arabou.edu.sa,920000268,https://www.eyeofriyadh.com/directory/details/304_arab-open-university
Prince Sultan University,info@psu.edu.sa,+966 11 494 8000  ,https://www.eyeofriyadh.com/directory/details/313_prince-sultan-university
Panda Retail Company,customercare@panda.com.sa,9200 27707,https://www.eyeofriyadh.com/directory/details/333_panda-retail-company
Mode Al Faisaliah,info@mode.sa,+966 11 273 4003,https://www.eyeofriyadh.com/directory/details/339_mode-al-faisaliah
Saudi Telecom Company,Contactus@stc.com.sa,8002444455 ,https://www.eyeofriyadh.com/directory/details/344_saudi-telecom-company
Mobily,info@mobily.com.sa,+966560101100,https://www.eyeofriyadh.com/directory/details/345_mobily
Zain,,+966592411111,https://www.eyeofriyadh.com/directory/details/346_zain
EJADAH Management Consultancy (EMC),info@ejadah-consult.com,+966 14537742 ,https://www.eyeofriyadh.com/directory/details/363_ejadah-management-consultancy-emc
Annasban Group,contact@nasban.com.sa,920005295 ,https://www.eyeofriyadh.com/directory/details/378_annasban-group
El Seif Engineering Contracting Co. (ESEC),info@el-seif.com.sa,+966 11 454 9191,https://www.eyeofriyadh.com/directory/details/380_el-seif-engineering-contracting-co-esec
Dima Dental Centers,info@dimadental.com,920005196,https://www.eyeofriyadh.com/directory/details/395_dima-dental-centers
Image Dental Center,info@image-dent.com,+966 1 4836060,https://www.eyeofriyadh.com/directory/details/399_image-dental-center
Mohammed Ali Al Swailem Construction Group (MASCO),masco@masco.com.sa,+966 11 4031888  ,https://www.eyeofriyadh.com/directory/details/411_mohammed-ali-al-swailem-construction-group-masco
Al-Yamamah Press,,+966 11 4416611 ,https://www.eyeofriyadh.com/directory/details/413_al-yamamah-press
Advanced Medical Center for Specialities,info@amcmed.co,00966 11 200 4040,https://www.eyeofriyadh.com/directory/details/417_advanced-medical-center-for-specialities
Prince Sultan Cardiac Center,info@pscc.med.sa,+966 11 478 3000,https://www.eyeofriyadh.com/directory/details/419_prince-sultan-cardiac-center
Specialized Clinics,info@spclinic.net,+966 11 461 0910 ,https://www.eyeofriyadh.com/directory/details/420_specialized-clinics
Refresh Clinic,info@refresh-clinic.com,+966 11 462 6622,https://www.eyeofriyadh.com/directory/details/421_refresh-clinic
Juva Clinics,Info@juva.com.sa,+966 11 480 9666,https://www.eyeofriyadh.com/directory/details/422_juva-clinics
AL ABEER MEDICAL CENTER,info@alabeermedicalgroup.com,920015888,https://www.eyeofriyadh.com/directory/details/424_al-abeer-medical-center
Swatch,,,https://www.eyeofriyadh.com/directory/details/433_swatch
Innova Health Care,info@innovahc.com,966112914944,https://www.eyeofriyadh.com/directory/details/438_innova-health-care
Albanian Embassy,embassy.riyadh@mfa.gov.al,+966 11 2816535,https://www.eyeofriyadh.com/directory/details/439_albanian-embassy
Elite Medical & Surgical  Center,marketing@elitehospitalsa.com,+966 11 461 6777,https://www.eyeofriyadh.com/directory/details/443_elite-medical-surgical-center
Okaz Newspaper,info@okaz.com.sa,8002440036,https://www.eyeofriyadh.com/directory/details/444_okaz-newspaper
Alwatan Newspaper,Online@alwatan.com.sa,8007540007,https://www.eyeofriyadh.com/directory/details/445_alwatan-newspaper
Al Jazirah Newspaper,ccs@al-jazirah.com.sa,966114870911 ,https://www.eyeofriyadh.com/directory/details/447_al-jazirah-newspaper
Al Riyadh Newspaper,info@ealriyadh.com,8004320000,https://www.eyeofriyadh.com/directory/details/449_al-riyadh-newspaper
Asharq Al awsat  Newspaper,orders@saudidistribution.com,8002440076,https://www.eyeofriyadh.com/directory/details/453_asharq-al-awsat-newspaper
Al Eqtisadiah Newspaper,edit@aleqt.com,8002440076,https://www.eyeofriyadh.com/directory/details/454_al-eqtisadiah-newspaper
Arriyadiyah,info@arriyadiyah.com,+966 11 488 2288 ,https://www.eyeofriyadh.com/directory/details/455_arriyadiyah
Australian Embassy,reg.riyadh@dfat.gov.au,+966 11 250 0900,https://www.eyeofriyadh.com/directory/details/456_australian-embassy
Embassy of Ireland,,+96611 4071530,https://www.eyeofriyadh.com/directory/details/457_embassy-of-ireland
Laha magazine,information@alhayat.com,8001218800,https://www.eyeofriyadh.com/directory/details/461_laha-magazine
Falcon Brokers,info@falconbrokers.com,+357 25 891717,https://www.eyeofriyadh.com/directory/details/463_falcon-brokers
US Embassy,, 966 11 488 3800 ,https://www.eyeofriyadh.com/directory/details/465_us-embassy
British Embassy,Consular.Riyadh@fco.gov.uk,966 11 4819 100,https://www.eyeofriyadh.com/directory/details/466_british-embassy
United Arab Emirates Embassy,riyadhemb@mofaic.gov.ae,966114881227,https://www.eyeofriyadh.com/directory/details/467_united-arab-emirates-embassy
FX OPEN,sales@fxopen.com,,https://www.eyeofriyadh.com/directory/details/468_fx-open
Embassy of Egypt,,966 11 481 0159 ,https://www.eyeofriyadh.com/directory/details/469_embassy-of-egypt
Sri Lanka Embassy,slemb.riyadh@mfa.gov.lk,96611460 8232,https://www.eyeofriyadh.com/directory/details/470_sri-lanka-embassy
Embassy of Algeria,mail@algerianembassy-saudi.com,966114887171 ,https://www.eyeofriyadh.com/directory/details/472_embassy-of-algeria
Embassy of the Kingdom of Spain,embespas@nesma.net.sa,+966 114880606  ,https://www.eyeofriyadh.com/directory/details/473_embassy-of-the-kingdom-of-spain
Embassy of Morocco,moembassy@awalnet.net.sa,+966 14811858 ,https://www.eyeofriyadh.com/directory/details/474_embassy-of-morocco
Embassy of Palestine,info@palestineembassy.org,966114880744,https://www.eyeofriyadh.com/directory/details/475_embassy-of-palestine
Samir Abbas medical Center,,920009033,https://www.eyeofriyadh.com/directory/details/516_samir-abbas-medical-center
Magrabi Hospitals & Centers,info@magrabi.com.sa,+966 11 263 6380,https://www.eyeofriyadh.com/directory/details/519_magrabi-hospitals-centers
Aon,info.me@aonhewitt.com,966 11 442 2700,https://www.eyeofriyadh.com/directory/details/523_aon
